alpha_value 	 Set_number 	 Precision 	 Recall 	 FScore 	 Error 	 sky_Error 	 cloud_Error 
0.050000 	 32 	 0.825743 	 0.989675 	 0.900307 	 12.033464 	 11.466607 	 0.566857 
0.050000 	 33 	 0.449461 	 0.998994 	 0.619983 	 43.027365 	 42.992023 	 0.035343 
0.050000 	 34 	 0.518608 	 0.995295 	 0.681904 	 37.615973 	 37.425378 	 0.190595 
0.050000 	 35 	 0.940030 	 0.999979 	 0.969079 	 5.105998 	 5.104337 	 0.001661 
0.050000 	 36 	 0.975347 	 0.995705 	 0.985421 	 2.632971 	 2.249156 	 0.383815 
0.050000 	 37 	 0.883461 	 0.979625 	 0.929061 	 11.450984 	 9.891416 	 1.559568 
0.050000 	 38 	 0.697663 	 0.989739 	 0.818423 	 23.852833 	 23.295536 	 0.557297 
0.050000 	 39 	 0.599501 	 0.998090 	 0.749073 	 34.097608 	 34.000203 	 0.097405 
0.050000 	 40 	 0.926019 	 0.992087 	 0.957915 	 7.293274 	 6.631246 	 0.662028 
0.050000 	 41 	 0.957979 	 0.999638 	 0.978365 	 2.994286 	 2.969796 	 0.024490 
0.050000 	 42 	 0.945565 	 0.999162 	 0.971625 	 4.897331 	 4.827039 	 0.070293 
0.050000 	 43 	 0.804441 	 0.996847 	 0.890368 	 12.690624 	 12.527628 	 0.162996 
0.050000 	 44 	 0.825181 	 0.997257 	 0.903095 	 13.892286 	 13.714233 	 0.178053 
0.050000 	 45 	 0.950369 	 0.997277 	 0.973258 	 4.327345 	 4.112317 	 0.215029 
0.050000 	 46 	 0.993843 	 0.998711 	 0.996271 	 0.728980 	 0.603265 	 0.125714 
0.050000 	 47 	 0.991063 	 0.996128 	 0.993589 	 1.225183 	 0.856152 	 0.369031 
0.050000 	 48 	 0.979105 	 0.986009 	 0.982545 	 3.135510 	 1.883265 	 1.252245 
0.050000 	 49 	 0.981170 	 0.981354 	 0.981262 	 3.377416 	 1.697185 	 1.680231 
0.050000 	 50 	 0.927047 	 0.993298 	 0.959030 	 6.966455 	 6.416339 	 0.550116 
0.050000 	 51 	 0.957317 	 0.987673 	 0.972258 	 4.708556 	 3.678795 	 1.029761 
0.050000 	 52 	 0.874519 	 0.995329 	 0.931022 	 11.378933 	 11.018586 	 0.360347 
0.060000 	 1 	 0.530959 	 0.960436 	 0.683859 	 40.053964 	 38.269377 	 1.784587 
